OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,0,0,0,0,0,0,17850,0,2.15,18.32,0,1,6,0
0,0,0,0,0,0,0,17900,0,8,21.44,0,9,2,-1
0,0,0,0,0,0,0,18000,-0.4,6.15,19.61,0,29,154,1
0,0,0,0,0,0,0,18050,0,9.95,20.64,0,3,2,-1
0,0,0,0,0,0,0,18100,-0.15,9.9,20.11,0,37,96,0
0,0,0,0,0,0,0,18150,0,11.25,20.02,0,1,1,-1
0,0,0,0,0,0,0,18200,-2.3,7.1,18.05,0,13,39,4
0,0,0,0,0,0,0,18250,0,19.1,20.96,0,22,13,-3
0,0,0,0,0,0,0,18300,0,9.5,17.9,0,12,58,2
0,0,0,0,0,0,0,18350,0,12.45,18.24,0,42,4,-35
0,0,0,0,0,0,0,18400,1.65,10.65,17.2,0,235,21,16
0,0,0,0,0,0,0,18450,0,7.75,15.78,0,1,1,1
0,0,0,0,0,0,0,18500,-0.7,11.4,16.35,0,144,360,35
0,0,0,0,0,0,0,18550,0,22.75,18.2,0,1,0,-1
0,0,0,0,0,0,0,18600,-2.45,12.1,15.45,0,25,33,16
0,0,0,0,0,0,0,18700,-1.85,14,14.79,0,4,4,1
0,0,0,0,0,0,0,18800,1.1,17.5,14.34,0,141,157,37
0,0,0,0,0,0,0,18900,5.35,21,13.74,0,27,43,11
0,1,1,94.7,0,820.85,0,18950,0,0,0,5.2,0,0,0
1,44,3,93.6,20.53,900.9,-7.65,19000,3.7,26.65,13.31,6.3,688,881,107
0,1,2,92.3,0,619.75,0,19050,0,0,0,7.6,0,0,0
-1,1,7,90.8,0,672.45,0,19100,6.1,32.1,12.68,9.1,367,334,8
0,6,1,87.2,18.81,722.95,270.9,19200,8.2,39.55,12.1,12.7,871,663,297
0,3,1,85.1,23.07,752,0,19250,0,163.8,20.57,14.8,4,2,2
2,80,7,82.7,15.78,604.35,-134.95,19300,11.75,51.5,11.72,17.2,2401,720,70
0,3,1,80.2,18.34,607.4,0,19350,6.3,49.65,10.81,19.7,103,63,32
20,159,30,77.4,16.21,538.65,-121.35,19400,14.35,64.6,11.18,22.5,1708,642,117
0,38,1,74.4,12.68,447.9,-62.45,19450,9.7,64.5,10.34,25.5,70,146,15
43,315,325,71.3,14.34,439.85,-125.2,19500,24.6,83.75,10.77,28.6,4176,1894,-1
0,19,2,68,13.92,400,-131.85,19550,25.1,92.15,10.38,31.9,63,83,14
78,363,424,64.5,13.92,368.5,-116.7,19600,34.55,111.1,10.54,35.4,2456,1231,6
9,83,24,61,14.39,346.9,-95.4,19650,38.8,125.7,10.33,38.9,182,111,39
215,537,943,57.3,13.24,297.6,-109.7,19700,42.3,140.4,10.03,42.6,3146,1704,761
97,192,619,53.6,13.33,272.25,-98.65,19750,48.2,160,9.9,46.3,186,133,41
754,1824,2995,49.9,13.08,242,-93.85,19800,50.9,177,9.51,50,3634,1844,-149
157,322,559,46.1,12.69,211.05,-91.95,19850,61.8,204.75,9.58,53.8,1269,178,17
521,981,2126,42.5,12.56,186.5,-85.4,19900,63.3,224,9.06,57.4,1911,924,1
81,160,206,38.9,12.31,161.5,-77.8,19950,63.3,246.55,8.57,61,175,117,-8
1176,2096,4293,35.3,12.26,142,-71.2,20000,72.5,277.2,8.39,64.6,2021,760,-299
48,67,87,32,11.93,119.3,-70.85,20050,86.85,313,8.37,67.9,2,13,-1
0,81,113,28.7,11.78,101.55,0,20100,89.45,341,7.63,71.2,41,40,2
475,941,1764,22.8,11.74,75.25,-46.35,20200,0,389.35,0,77.1,8,7,0
458,468,783,17.7,11.66,53.85,-38.2,20300,-1,494,0,82.2,3,14,0
498,816,2407,13.3,11.64,38.2,-24,20400,0,0,0,86.6,0,0,0
0,76,50,11.5,11.67,32.2,-19.25,20450,0,0,0,88.4,0,0,0
732,1808,2783,9.8,11.79,27.8,-15.9,20500,0,0,0,90.1,0,0,0
0,1,2,8.3,12.07,25.3,0,20550,0,0,0,91.6,0,0,0
256,545,780,4.9,12.03,14.1,-7.45,20700,0,0,0,95,0,0,0
92,155,262,3.3,12.42,11.05,-4.75,20800,0,0,0,96.6,0,0,0
12,76,68,2.7,12.74,10.35,-6.8,20850,0,0,0,97.2,0,0,0
183,276,342,2.2,13.17,10.2,-2.55,20900,0,0,0,97.7,0,0,0
45,139,159,1.8,13.41,9.3,-0.15,20950,0,0,0,98.1,0,0,0
324,1345,1495,1.4,13.61,8.35,-1.6,21000,-50.75,1049.95,0,98.5,1,1,0
0,3,5,0.3,15.77,6.95,0,21300,0,0,0,99.6,0,0,0
1,10,6,0.2,16.08,6.65,-0.3,21350,0,0,0,99.7,0,0,0
0,80,88,0.1,17.05,6,0,21500,0,0,0,99.8,0,0,0
