OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,0,0,0,0,0,0,17150,0.15,2.8,31.2,0,3,73,1
0,0,0,0,0,0,0,17200,-1.35,2.2,29.78,0,4,66,0
0,0,0,0,0,0,0,17250,-0.05,2.5,29.67,0,1,7,0
0,0,0,0,0,0,0,17300,0,2.9,29.64,0,2,6,-1
0,0,0,0,0,0,0,17350,-1.1,2.25,28.21,0,13,5,-7
0,0,0,0,0,0,0,17400,0,3,28.63,0,9,26,1
0,0,0,0,0,0,0,17450,-0.05,2.15,26.96,0,6,31,0
-1,0,1,100,60.97,2450,0,17500,-0.1,2.7,27.15,0,80,80,-13
0,0,0,0,0,0,0,17550,-0.5,2.85,26.77,0,75,44,0
0,0,0,0,0,0,0,17600,-0.5,2.55,25.85,0,186,158,-7
0,0,0,0,0,0,0,17650,0,3.05,25.87,0,8,60,0
0,0,0,0,0,0,0,17700,-0.95,2.85,25.09,0,74,53,12
0,0,0,0,0,0,0,17750,-1.05,2.95,24.64,0,6,32,-4
-1,0,1,100,45.92,2080,0,17800,-0.65,2.55,23.64,0,37,39,-1
0,0,0,0,0,0,0,17850,0,4.85,25.14,0,2,9,0
0,0,0,0,0,0,0,17900,-0.2,3.2,23.2,0,32,90,2
0,0,0,0,0,0,0,17950,0,6.2,24.83,0,11,5,-3
13,21,15,99.9,42.63,1881.9,-28.1,18000,-0.25,3.65,22.46,0,1366,1161,-85
0,0,0,0,0,0,0,18050,0,5.95,23.47,0,17,27,1
0,0,1,99.9,36.11,1750,0,18100,0.4,3.85,21.47,0,141,74,21
0,0,0,0,0,0,0,18150,0,7.1,22.88,0,23,41,-1
0,0,0,0,0,0,0,18200,-0.3,4.4,20.71,0,67,93,12
0,0,0,0,0,0,0,18250,0.1,4.35,20.09,0,39,52,1
0,0,0,0,0,0,0,18300,-1.3,4.6,19.66,0,231,160,-50
0,0,0,0,0,0,0,18350,0.65,5.05,19.34,0,8,24,0
0,1,3,99.9,33.87,1470,0,18400,-0.5,4.95,18.69,0,117,83,-9
0,0,0,0,0,0,0,18450,-0.75,5.2,18.23,0,18,39,4
2,14,7,99.9,36.82,1410.25,34.3,18500,-0.4,5.75,17.91,0,3536,4071,173
